Family, Given, Gender, DoB, Ceritficate
Nguyễn Văn, An, m, 1990-01-01, college
Nguyễn Thị, Bình, f, 1991-01-01, college
Nguyễn Thị, Chinh, f, 1991-02-01, university
Trần Văn, Dĩnh, m, 1992-03-02, university
Nguyễn Thị, Đông, f, 1986-11-17, university
Ngô Văn, Điệp, m, 1979-08-05, college
Trần Xuân, Én, m, 1992-01-09, college
Nguyễn Minh, Phúc, m, 1995-01-01, high school
Nguyễn Hồng, Hà, f, 1996-01-01, college
Hoàng Văn, Hưng, f, 1997-03-02, university
Nguyễn Thị Thu, Hoài, f, 1995-09-08, university
Đào Xuân, Kiên, m, 1992-08-29, college
Nguyễn Hoàng, Linh, m, 1992-12-29, university
Đào Xuân, Minh, m, 1992-08-03, college
Nguyễn Phương, Nhung, f, 1989-12-26, high school
Nguyễn Thị Kim, Oanh, f, 1995-06-18, university
Nguyễn Hoàng, Phương, f, 1996-01-31, college
Trần Xuân, Quyết, m, 1992-10-06, university
Nguyễn Thị, Lý, f, 1996-11-14, college
Đào Xuân, Sắc, m, 1996-05-21, college
Nguyễn Minh, Tuấn, m, 1989-12-11, high school
Nguyễn Hoàng, Uyên, f, 1995-09-28, high school
Trần Xuân, Vinh, m, 1989-11-14, college
Trần Xuân, Tú, m, 1996-06-07, university
Đào Xuân, Thuận, m, 1983-02-03, college
Nguyễn Thị Hoàng, Yến, f, 1984-03-04, university
Nguyễn Thị Hoài, Thu, f, 1995-08-05, high school
Nguyễn Hồng, Thuận, f, 1998-07-23, university
